,mean_abs_shap
cumul_received_unsucc,0.0896690562097155
cumul_pressured_success_rate,0.061875668203262006
cumul_pressured_succ,0.0397815433080128
formation,0.03805858712521304
share_of_possessions_with_top_run,0.028869298064180832
last_15_received_unsucc,0.026404174788858138
cumul_top_run_share,0.026172387109859252
cumul_unique_run_possessions,0.02542708162318938
cumul_bottom_sprint_share,0.025413446829413926
last15_distance,0.025003115149373714
top_distance_share,0.02332778272413448
last15_top_run_share,0.02303874861819601
distance_per_run,0.0207147148050022
last_15_pressures_won,0.019970394186058765
cumul_shots_special,0.018946467183868013
cumul_in_game_time,0.01832791652520387
cumul_mean_max_speed,0.016483067048523353
last15_top_sprint_share,0.016328272046420095
distance_per_possession,0.015976889436650734
last_15_pressure_success_rate,0.014631836900395302
cumul_pressure_success_rate,0.014602821031463617
position,0.013944576519663621
cumul_distance,0.01370990080030544
cumul_pressures_won,0.012123372032573868
checkpoint_period,0.011582981645510245
last_15_pressured_unsucc,0.01131909667737379
cumul_peak_speed,0.011271110094333976
possessions_with_2plus_runs,0.010536162915773712
avg_top_sprint_distance,0.010148891768730215
is_home,0.010095834946545555
last15_mean_max_speed,0.010081789029050202
cumul_times_pressured,0.009681483449183697
cumul_bottom_run_share,0.009306990382712068
last15_bottom_sprint_count,0.008814057713318951
cumul_pressures_applied,0.008305916935659515
last_15_received_succ,0.008201114580707363
cumul_received_succ,0.006970609772774994
top_sprint_distance,0.006017141305285998
possessions_with_sprint_and_hsr,0.005423428431035677
cumul_pressures_lost,0.005330807353181971
last_15_pressures_applied,0.005052246275111857
last_15_times_pressured,0.004944707767157733
last_15_shots_under_pressure_rate,0.004721461294956383
cumul_shots_under_pressure_rate,0.004706010097000684
cumul_pressured_unsucc,0.004573027796312294
last_15_pressured_success_rate,0.004408167584891785
cumul_shots_blocked,0.004305782963312657
last_15_pressured_succ,0.004299894232080114
sprint_distance_share,0.004177767204448554
last15_shots,0.0025160876204577995
last_15_pressures_lost,0.0021997210102472275
last_15_shots_total,0.0020864218284165513
cumul_shots_set_play,0.0018955332391462697
cumul_shots_under_pressure,0.0016027945856967984
checkpoint_min,0.001417595875341183
checkpoint,0.0013959148000236051
cumul_shots_total,0.0013232039082645996
last_15_shots_under_pressure,0.00119727598268988
last_15_shots_special,0.0010680464257791956
last_15_shots_blocked,0.00084899521693905
last_15_shots_set_play,0.0004574798532942703
