checkpoint,position,is_home,formation,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,cumul_in_game_time,cumul_received_succ,cumul_received_unsucc,cumul_times_pressured,cumul_pressured_succ,cumul_pressured_unsucc,cumul_pressured_success_rate,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,cumul_pressure_success_rate
H1_45,M,False,4-2-3-1,9,25,457.66,6.801,8.83,1,1,1,1,0,44,20,1,21,14,7,0.6666666666666666,8,4,4,0.5
H2_15,M,False,4-2-3-1,12,38,698.57,6.781,8.99,3,1,3,3,0,59,37,1,35,23,12,0.6571428571428571,0,0,0,0.0
H2_30,M,False,4-2-3-1,13,46,853.64,6.794,9.6,4,1,4,4,0,74,45,1,40,27,13,0.675,10,4,6,0.4
H1_15,D,False,4-2-3-1,1,4,44.96,6.294,8.11,0,0,0,0,0,14,1,0,3,2,1,0.6666666666666666,2,1,1,0.5
H1_30,D,False,4-2-3-1,5,11,182.21,6.794,9.77,0,0,0,0,0,29,10,1,10,7,3,0.7,3,1,2,0.3333333333333333
H1_45,D,False,4-2-3-1,8,20,391.23,6.825,9.77,0,0,0,0,0,44,21,2,14,11,3,0.7857142857142857,7,5,2,0.7142857142857143
H2_15,D,False,4-2-3-1,13,35,649.43,6.836,9.77,0,0,0,0,0,59,28,4,18,13,5,0.7222222222222222,9,7,2,0.7777777777777778
H2_30,D,False,4-2-3-1,16,42,800.66,6.851,9.77,0,0,0,0,0,74,42,5,21,16,5,0.7619047619047619,10,8,2,0.8
H2_30,A,False,4-2-3-1,2,3,38.42,6.92,7.41,0,0,0,0,0,6,0,0,0,0,0,0.0,1,0,1,0.0
H1_15,M,False,4-2-3-1,4,10,129.24,6.864,7.81,0,0,0,0,1,14,6,0,3,2,1,0.6666666666666666,4,1,3,0.25
