split,rows,fixtures,player_appearances,players,positives,positive_rate,row_share
test,765,7,188,123,43,0.05620915032679739,0.23846633416458854
train,1876,18,473,224,105,0.055970149253731345,0.5847880299251871
val,567,6,147,134,34,0.059964726631393295,0.17674563591022444
