fold_id,train_fixtures,val_fixtures,average_precision,balanced_accuracy,auroc,brier
1,10,4,0.27745671467683,0.5,0.6660504567203133,0.09189293636390226
2,14,4,0.17518989646785557,0.5,0.6714346530438484,0.07582570900634958
3,18,4,0.28779917402644484,0.5,0.7935096153846154,0.19999810356945433
4,22,4,0.1769586725570392,0.5528142589118199,0.6678236397748593,0.07558128534697982
