model_name,cv_pr_auc_mean,cv_pr_auc_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_auroc_mean,cv_auroc_std,cv_brier_score_mean,cv_brier_score_std,val_average_precision,val_balanced_accuracy,val_auroc,val_brier_score,test_average_precision,test_balanced_accuracy,test_auroc,test_brier_score
catboost,0.13951603119489606,0.04690198300449022,0.6573531920043759,0.04063970970102549,0.7007809486225013,0.03699673951173835,0.12480801449865304,0.06919883001762216,0.1008006388345134,0.6960048559761616,0.7043648603906854,0.1812604952541309,0.1888294130284633,0.6579591573793726,0.7308671004316175,0.1808993423969721
xgboost,0.11873794165368816,0.034073610538548675,0.6141996659258305,0.04407434696252233,0.6832428011483636,0.025989723787912776,0.05342920124530792,0.006815034243869036,0.09729055933084785,0.6612404811830923,0.6788985763160799,0.05592149868607521,0.13522884557693945,0.6566063260967596,0.6762384848289634,0.05264804884791374
decision_tree,0.08404418719350033,0.010220458514901188,0.5887507603508917,0.03786494682500609,0.6326886913187781,0.030041804611477232,0.22069919149788345,0.013487693282504216,0.07564356674114303,0.5573888091822095,0.5939189934885774,0.2203096556154235,0.10182916359501767,0.6964504283965729,0.6977066288732849,0.22231920450138687
