,perm_delta_prauc
last_15_pressure_success_rate,-0.008056917078003371
last_15_shots_under_pressure_rate,-0.005125473597659247
cumul_times_pressured,-0.005044545985299638
cumul_bottom_run_share,-0.0049169992043373925
sprint_distance_share,-0.003926839694935486
last_15_shots_set_play,-0.0035070866376873816
distance_per_run,-0.0030786539432276702
cumul_shots_total,-0.0018578477919539704
last_15_shots_under_pressure,-0.0015736318691177004
last_15_pressured_success_rate,-0.0011216199476349609
cumul_pressure_success_rate,-0.00065381481325133
possessions_with_2plus_runs,-0.0005722668962848537
last_15_shots_blocked,-0.00035408688502826247
cumul_mean_max_speed,-0.00017919089818984463
last15_shots,-8.494591040809907e-05
last_15_pressured_unsucc,5.65357845704606e-05
last_15_pressured_succ,0.00044673303534516207
last_15_shots_total,0.0007521037513924106
checkpoint_min,0.0009738466104952173
cumul_pressures_won,0.0013670443159426587
cumul_unique_run_possessions,0.0013677870245771342
possessions_with_sprint_and_hsr,0.0017033093691587176
cumul_bottom_sprint_share,0.0017244275594128083
checkpoint,0.0018018722098803452
last_15_shots_special,0.001847874423272458
cumul_shots_under_pressure,0.0021227595420219222
last_15_received_succ,0.002213310372714182
last15_top_run_share,0.0022168496021450768
distance_per_possession,0.0026827981760467953
last15_bottom_sprint_count,0.002762009614511611
cumul_pressured_succ,0.002849246019863111
cumul_shots_blocked,0.002967812897125034
last_15_pressures_applied,0.0030930483459519
cumul_shots_set_play,0.0034205154943134433
avg_top_sprint_distance,0.004089692096992031
is_home,0.006741997343440102
cumul_pressures_applied,0.00678541361433601
last15_mean_max_speed,0.006806774843359342
position,0.0071828518387743595
top_sprint_distance,0.007188987505635951
cumul_received_succ,0.007889695919516805
last15_distance,0.008269887035451652
cumul_distance,0.008586656058308738
cumul_shots_under_pressure_rate,0.008705498894147824
cumul_in_game_time,0.009107494762650027
top_distance_share,0.009375958640153545
cumul_top_run_share,0.012873704354577152
cumul_pressures_lost,0.012919592387435744
last_15_received_unsucc,0.014725829166324193
cumul_peak_speed,0.01649790693565576
last_15_pressures_won,0.01677186096540309
cumul_received_unsucc,0.020549966052979568
last15_top_sprint_share,0.022007996064249136
formation,0.023601230162023396
share_of_possessions_with_top_run,0.0262586826999077
cumul_pressured_success_rate,0.0471393592617004
cumul_shots_special,0.050619136552885434
