fold_id,train_fixtures,val_fixtures,average_precision,balanced_accuracy,auroc,brier
1,10,4,0.3017144351220461,0.5,0.6418007829491083,0.06829728807039959
2,14,4,0.20677980035926824,0.5,0.7182630906768838,0.07982405548847492
3,18,4,0.24892281930823298,0.5,0.7712740384615384,0.08522989608114787
4,22,4,0.16974531979952093,0.5167917448405254,0.6903377110694184,0.0733153990699504
