iter	PRAUC:type=Classic;use_weights=false	Logloss	BrierScore:use_weights=false	Logloss:use_weights=true	Logloss:use_weights=false
45	0.09980132965	0.6433008689	0.2134537676	0.6433008689	0.6198686906
46	0.09902738027	0.6422983547	0.2126870496	0.6422983547	0.6183232071
47	0.09847014544	0.641248142	0.2119058789	0.641248142	0.6167477687
48	0.09823392576	0.6402494039	0.2111417265	0.6402494039	0.6152063872
49	0.0994800634	0.6394602762	0.2105542148	0.6394602762	0.6140206131
50	0.09861042174	0.6385700776	0.2098734479	0.6385700776	0.612646461
51	0.0983225339	0.6376974062	0.2092034304	0.6376974062	0.6112935397
52	0.09893182756	0.6368553742	0.208574594	0.6368553742	0.6100230761
53	0.09893182756	0.6358826334	0.2078277085	0.6358826334	0.6085140699
54	0.09885232666	0.6349760834	0.2071327982	0.6349760834	0.6071093438
55	0.09845115853	0.6341066085	0.2064762617	0.6341066085	0.6057813927
56	0.09870475856	0.6333750381	0.2059441034	0.6333750381	0.6047043232
57	0.09845227418	0.6324304068	0.2052190765	0.6324304068	0.6032373049
58	0.09951167947	0.6314643384	0.2045063329	0.6314643384	0.6017942065
59	0.100280477	0.63054499	0.2038000606	0.63054499	0.6003639061
60	0.09942273725	0.6296231912	0.203087152	0.6296231912	0.5989196939
61	0.09861031794	0.6287445635	0.2024072068	0.6287445635	0.5975416055
62	0.09841869609	0.6278405604	0.2017061384	0.6278405604	0.5961202179
63	0.09777525053	0.6270681497	0.2011146739	0.6270681497	0.5949204054
64	0.09757091829	0.6261849278	0.2004274483	0.6261849278	0.5935259339
65	0.09750434986	0.6252894208	0.1997322257	0.6252894208	0.5921146672
66	0.09750434986	0.6243954049	0.1990380867	0.6243954049	0.5907049831
67	0.09736233702	0.6236239368	0.1984611108	0.6236239368	0.5895318771
68	0.09736233702	0.6227411047	0.1977745475	0.6227411047	0.588136396
69	0.09762919025	0.6219584576	0.1971890779	0.6219584576	0.5869448828
70	0.09771688884	0.6211274865	0.196564736	0.6211274865	0.5856739481
71	0.09783434945	0.620251086	0.1959316035	0.620251086	0.5843844549
72	0.09807947177	0.6194261028	0.195318914	0.6194261028	0.5831357019
73	0.09857723963	0.6186203278	0.1947312478	0.6186203278	0.5819372281
74	0.09844493956	0.6177941664	0.1941047197	0.6177941664	0.5806593469
75	0.09789702537	0.6170312704	0.1935264088	0.6170312704	0.5794790128
76	0.09823337912	0.6162644644	0.192952126	0.6162644644	0.5783063039
77	0.09876270155	0.6156104518	0.1924668633	0.6156104518	0.5773152832
78	0.09909568839	0.6148367461	0.1919125722	0.6148367461	0.5761818139
79	0.09943979119	0.6142391591	0.1914604093	0.6142391591	0.5752577586
80	0.09799812197	0.6135024006	0.1908744988	0.6135024006	0.5740604108
81	0.09799812197	0.6126848448	0.1902327356	0.6126848448	0.572748546
82	0.09754908685	0.611973266	0.1896982675	0.611973266	0.5716540859
83	0.09769921797	0.6111616415	0.1890649651	0.6111616415	0.5703580597
84	0.09750293489	0.6104800356	0.1885387853	0.6104800356	0.5692800509
85	0.09758106617	0.6096816327	0.1879404116	0.6096816327	0.5680529746
86	0.097618355	0.6089118215	0.1873369957	0.6089118215	0.5668161245
87	0.09775125384	0.6084429322	0.1869893665	0.6084429322	0.5661022884
88	0.0976024201	0.6077229548	0.1864351772	0.6077229548	0.5649650954
89	0.09741476804	0.6072268688	0.1860470364	0.6072268688	0.5641683964
90	0.097103143	0.6065764315	0.185549737	0.6065764315	0.5631466577
91	0.09685418535	0.6058902771	0.1850174727	0.6058902771	0.5620530767
92	0.09679617449	0.6051318958	0.1844163439	0.6051318958	0.5608179524
93	0.09679617449	0.6043702884	0.1838132231	0.6043702884	0.5595781027
94	0.09665338957	0.6036641676	0.1832750624	0.6036641676	0.5584694318
95	0.09699001823	0.6028913388	0.182693282	0.6028913388	0.5572710117
96	0.09688126885	0.6023660693	0.1823046428	0.6023660693	0.5564692652
97	0.09688126885	0.6016224545	0.1817140787	0.6016224545	0.5552527584
98	0.09687362584	0.6009089765	0.1811505228	0.6009089765	0.5540907849
99	0.09718262919	0.6001625788	0.1805625802	0.6001625788	0.5528780931
100	0.09778049812	0.5996373955	0.1801979261	0.5996373955	0.5521237534
101	0.09765313449	0.5989221565	0.179626826	0.5989221565	0.5509447738
102	0.09760072746	0.5982047642	0.1790544606	0.5982047642	0.5497625328
103	0.09760072746	0.5974890899	0.1784833855	0.5974890899	0.5485823061
104	0.09754685856	0.5970302616	0.1781401794	0.5970302616	0.5478715341
105	0.09754685856	0.5963223937	0.1775745737	0.5963223937	0.5467014823
106	0.09798844542	0.5958078102	0.1772098072	0.5958078102	0.5459441454
107	0.09772920047	0.5951242587	0.1766783607	0.5951242587	0.5448421128
108	0.09765164971	0.5944226569	0.1761512019	0.5944226569	0.5437475132
109	0.09768731218	0.5939418948	0.1757898353	0.5939418948	0.5429970935
110	0.09854403775	0.5933251968	0.1753469478	0.5933251968	0.5420759536
111	0.09907680936	0.592638636	0.1748145815	0.592638636	0.540969918
112	0.09881079453	0.5920548629	0.174355693	0.5920548629	0.5400160292
113	0.0984639944	0.5914488571	0.1738660213	0.5914488571	0.5389979218
114	0.09835692095	0.5907910342	0.1733352575	0.5907910342	0.5378944589
115	0.0986772648	0.590061069	0.1727985713	0.590061069	0.5367753081
116	0.09879754217	0.5894266855	0.1723110425	0.5894266855	0.5357598289
117	0.09911236939	0.5887389734	0.1717770457	0.5887389734	0.534646523
118	0.09946626862	0.5881446754	0.1713063808	0.5881446754	0.5336657678
119	0.09930414092	0.5876025483	0.1708973684	0.5876025483	0.5328107542
120	0.09959767138	0.5870461166	0.1704756625	0.5870461166	0.5319291053
121	0.09963682559	0.5864099877	0.1699769247	0.5864099877	0.5308863161
122	0.0995868213	0.5859651647	0.169647064	0.5859651647	0.5301955081
123	0.0995868213	0.5853283979	0.1691318525	0.5853283979	0.5291190422
124	0.09946025323	0.5848729092	0.1687902405	0.5848729092	0.5284024754
125	0.09968250023	0.5843032479	0.1683492613	0.5843032479	0.527478252
126	0.1003837571	0.583810792	0.167973487	0.583810792	0.5266908192
127	0.1005842084	0.5831676561	0.1674876701	0.5831676561	0.5256709204
128	0.1006912814	0.5826172202	0.1670384304	0.5826172202	0.524729041
129	0.1006912814	0.5820022152	0.1665387388	0.5820022152	0.5236814426
130	0.1007995063	0.5817226085	0.1663345439	0.5817226085	0.523252059
131	0.1007481021	0.581270194	0.1660018349	0.581270194	0.5225513901
132	0.1009270674	0.5806286398	0.1655057973	0.5806286398	0.5215080311
133	0.1005481071	0.5800404818	0.1650255469	0.5800404818	0.5204989252
134	0.1005481071	0.5794421904	0.1645378119	0.5794421904	0.5194735882
135	0.10161637	0.5788176393	0.1640498929	0.5788176393	0.5184455257
136	0.10161637	0.5782275137	0.1635679902	0.5782275137	0.5174310703
137	0.1016116414	0.5776450258	0.1631207714	0.5776450258	0.5164862007
138	0.1016116414	0.5770626348	0.1626444095	0.5770626348	0.5154820796
139	0.1016116414	0.576484268	0.1621709162	0.576484268	0.5144833243
140	0.1016116414	0.5759098973	0.1617002735	0.5759098973	0.5134899023
141	0.1012440003	0.5753412236	0.1612393195	0.5753412236	0.5125158321
142	0.1012440003	0.5747746792	0.1607742714	0.5747746792	0.5115328768
143	0.101464382	0.5744398276	0.1605366982	0.5744398276	0.5110283245
144	0.1014370438	0.5738868045	0.1600879536	0.5738868045	0.5100781161
145	0.1014370438	0.5733297514	0.1596297391	0.5733297514	0.5091079244
146	0.1016592859	0.5730598469	0.1594346857	0.5730598469	0.5086937371
147	0.1015550145	0.5725964354	0.1590492498	0.5725964354	0.5078769969
148	0.1015550145	0.5720479926	0.1585972256	0.5720479926	0.5069183902
149	0.1013059468	0.5715936761	0.1582204416	0.5715936761	0.506118647
150	0.1015948052	0.5711136072	0.1578686684	0.5711136072	0.5053684236
151	0.10171238	0.5706145989	0.1574683182	0.5706145989	0.5045168696
152	0.1017844856	0.5701434767	0.1571093081	0.5701434767	0.5037508084
153	0.1017844856	0.5696109025	0.1566687632	0.5696109025	0.5028136669
154	0.1018373589	0.5691033119	0.1562708095	0.5691033119	0.5019630232
155	0.1018373589	0.5685776486	0.1558352594	0.5685776486	0.5010352395
156	0.1021278459	0.568127265	0.1554926239	0.568127265	0.5003017951
157	0.1021278459	0.5676079564	0.155061681	0.5676079564	0.4993826432
158	0.1021287641	0.5672453051	0.1547817412	0.5672453051	0.4987829732
159	0.1023718433	0.5667358088	0.154380423	0.5667358088	0.4979250645
160	0.1024884909	0.5662250742	0.1539781046	0.5662250742	0.4970644486
161	0.1019186226	0.5657940943	0.1536232112	0.5657940943	0.4963051953
162	0.102334107	0.5652630805	0.1532124408	0.5652630805	0.4954239658
163	0.102334107	0.564762272	0.1527949438	0.564762272	0.4945300396
164	0.1023270949	0.5642698511	0.1524056434	0.5642698511	0.4936928373
165	0.1023029999	0.5637789552	0.151995179	0.5637789552	0.4928126644
166	0.1026338158	0.5635709707	0.1518327224	0.5635709707	0.4924634337
167	0.1026752635	0.5630615729	0.1514427263	0.5630615729	0.4916225909
168	0.1026752635	0.5625751244	0.1510356859	0.5625751244	0.4907483223
