iter	Logloss
0	0.6863362877
1	0.6787408069
2	0.6728552726
3	0.6658831071
4	0.6599750806
5	0.6521896291
6	0.6413670481
7	0.6331994295
8	0.6284222171
9	0.6196932423
10	0.6115247006
11	0.6029999934
12	0.5980685971
13	0.5971411397
14	0.5955918904
15	0.5878612419
16	0.5836304349
17	0.5785429912
18	0.5740995724
19	0.572922038
20	0.5709981386
21	0.5684369333
22	0.5641647414
23	0.5638932191
24	0.5599040386
25	0.5546885036
26	0.5527386378
27	0.5491950765
28	0.5411759776
29	0.5390599094
30	0.532181027
31	0.5319978067
32	0.5250950136
33	0.52185935
34	0.5204177974
35	0.5169168894
36	0.5109889642
37	0.5106127727
38	0.5091237678
39	0.5090171174
40	0.5037051761
41	0.5035192403
42	0.4976553592
43	0.4958242825
44	0.4956267508
45	0.4923682088
46	0.4882509698
47	0.479822894
48	0.479089276
49	0.4771198718
50	0.4746029572
51	0.4719446385
52	0.4704311619
53	0.4670425244
54	0.4670326895
55	0.4643942665
56	0.4608547422
57	0.4591961054
58	0.4564817354
59	0.4555064156
60	0.4545902849
61	0.4515356321
62	0.4507911683
63	0.4493060435
64	0.4470319328
65	0.4469149602
66	0.4445365894
67	0.4416290528
68	0.4412803972
69	0.4412750997
70	0.4388204099
71	0.4357712442
72	0.4301486933
73	0.4301428955
74	0.4267646413
75	0.424679347
76	0.4246402646
77	0.4200001222
78	0.4192723586
79	0.414166797
80	0.4141588183
81	0.4070094192
82	0.4061664864
83	0.4025601935
84	0.3987541857
85	0.3983254675
86	0.3983178266
87	0.3964803391
88	0.3916442711
89	0.3903492599
90	0.3901269055
91	0.3875004905
92	0.3854065247
93	0.382796533
94	0.3827793543
95	0.3827740025
96	0.3812179771
97	0.3811106974
98	0.3790971375
99	0.3772627886
100	0.3744970897
101	0.3717645753
102	0.3697331955
103	0.3678422711
104	0.3661847198
105	0.3639085015
106	0.3632861946
107	0.3613261153
108	0.3606930564
109	0.3606900768
110	0.359599272
111	0.3582862752
112	0.3557229789
113	0.3510192182
114	0.3488409337
115	0.3474192156
116	0.3466206047
117	0.345442241
118	0.3452331322
119	0.3418532634
120	0.3412889755
121	0.3399820063
122	0.3384249033
123	0.3370143183
124	0.3351269409
125	0.3336032677
126	0.3297174785
127	0.3285246478
128	0.3267985725
129	0.324749362
130	0.3246841822
131	0.3246814334
132	0.3236037031
133	0.3212644184
134	0.3189931887
135	0.3161072563
136	0.3160594087
137	0.3151622412
138	0.3115044803
139	0.3108146086
140	0.3090768551
141	0.3051263676
142	0.3051076258
143	0.3034441588
144	0.3017039563
145	0.297995375
146	0.2967219261
147	0.2948864637
148	0.2943539414
149	0.2941604679
150	0.2930069241
151	0.2918566487
152	0.2891648542
153	0.2873582966
154	0.2848201209
155	0.2845003988
156	0.2827087964
157	0.2814606706
158	0.2770565378
159	0.2745251192
160	0.2723357225
161	0.2713877132
162	0.2700032172
163	0.2688487611
164	0.26816333
165	0.2635486128
166	0.2617268008
167	0.2602682539
168	0.2581111214
169	0.255368248
170	0.2523646129
171	0.2513788358
172	0.2487150006
173	0.247254009
174	0.2452247004
175	0.2442899919
176	0.2427402661
