iter	Logloss
177	0.2399736894
178	0.2388654404
179	0.2360422829
180	0.2348154712
181	0.2318410662
182	0.2278536196
183	0.2268149365
184	0.2219897038
185	0.2187453403
186	0.2175197802
187	0.2149751787
188	0.2134582244
189	0.2118935497
190	0.2097452588
191	0.2089234363
192	0.2074252374
193	0.2054696654
194	0.2038842996
195	0.2025773995
196	0.2008629047
197	0.1987309814
198	0.1978558491
199	0.1958553959
200	0.1950171195
201	0.1927461359
202	0.1910160153
203	0.1900387996
204	0.187789343
205	0.1864824027
206	0.1841723161
207	0.1827331995
208	0.1817832458
209	0.1802568296
210	0.1790820909
211	0.1781736519
212	0.1768653755
213	0.1754097251
214	0.1735479181
215	0.1728769954
216	0.1711945016
217	0.169776745
218	0.1683913945
219	0.1669737494
220	0.1657068193
221	0.1648199116
222	0.1636764876
223	0.1626328465
224	0.1618262625
225	0.1609991448
226	0.159787942
227	0.1582246593
228	0.1573657278
229	0.1560095881
230	0.1554829266
231	0.1543934813
232	0.1538638656
233	0.1527139564
234	0.1517462578
235	0.150981337
236	0.1491027659
237	0.1478219197
238	0.1469152666
239	0.1459916432
240	0.1454248601
241	0.1436998847
242	0.1425753859
243	0.1407318095
244	0.1399245298
245	0.13849059
246	0.1373589695
247	0.1362725784
248	0.1352928858
249	0.1343387791
250	0.1331788037
251	0.1318410281
252	0.1309057823
253	0.1304050678
254	0.1301271327
255	0.1292771103
256	0.1284970412
257	0.1277681769
258	0.1271247915
259	0.1264954908
260	0.1256632999
261	0.1252581305
262	0.1247554776
263	0.1239436401
264	0.1232102042
265	0.1224835293
266	0.1221839208
267	0.1210732872
268	0.1202695074
269	0.1199722992
270	0.118862141
271	0.1186780391
272	0.1184374619
273	0.1171511937
274	0.1164448485
275	0.1154796031
276	0.1148426913
277	0.1136562681
278	0.1126523523
279	0.1119357664
280	0.1111727588
281	0.1105850951
282	0.1101625335
283	0.1095675973
284	0.1087634173
285	0.1079845257
286	0.1075971247
287	0.1069547815
288	0.1069455057
289	0.1064773096
290	0.1057745801
291	0.1051435998
292	0.1045648135
293	0.1036173606
294	0.1030478752
295	0.1030243233
296	0.1025770171
297	0.1022825466
298	0.101307204
299	0.1006843452
300	0.09965537026
301	0.09924350775
302	0.09841785679
303	0.09833527009
304	0.09787161585
305	0.0974791701
306	0.09697681829
307	0.09667348227
308	0.09602288025
309	0.09504692983
310	0.09491828639
311	0.09459023926
312	0.09422485515
313	0.09377072764
314	0.09320814736
315	0.09242839342
316	0.09234841512
317	0.0922510499
318	0.09178896643
319	0.09110769022
320	0.091098917
321	0.09091095892
322	0.09064220713
323	0.09063396562
324	0.08996079529
325	0.08977194696
326	0.08931049145
327	0.08886173851
328	0.08885797245
329	0.08836429395
330	0.08836105765
331	0.08835787914
332	0.0875987862
333	0.08711138969
334	0.08638784333
335	0.08575183069
336	0.0856077427
337	0.08516879288
338	0.08510222817
339	0.0846840984
340	0.08430279713
341	0.08353658139
342	0.08313315823
343	0.08292726452
344	0.08251562257
345	0.08198818911
346	0.08149348789
347	0.08077195648
348	0.08032733287
349	0.07983682708
350	0.07930956011
351	0.07911720273
352	0.07903379598
353	0.07891465068
354	0.07890593808
355	0.07876505859
356	0.07839265532
357	0.07833480202
358	0.07755853218
359	0.07750046692
360	0.07681128508
361	0.07651886733
362	0.07603953547
363	0.07587951836
364	0.07528590934
365	0.07527623458
366	0.07490449385
367	0.07461771855
368	0.07461446787
369	0.07432216521
370	0.07381764285
371	0.07312252741
372	0.072657255
373	0.07265503631
374	0.07224766584
375	0.07178060979
376	0.07133020521
377	0.0710382602
378	0.07086915665
379	0.07062384109
380	0.070564148
381	0.07056075654
382	0.07019195377
383	0.06981292071
384	0.0696240976
385	0.06942088837
386	0.06888542943
387	0.06857544282
388	0.06814045257
389	0.06792498247
390	0.0676775693
391	0.06726520027
392	0.06691269248
393	0.06659468979
394	0.06628322078
395	0.06590719266
396	0.06554745029
397	0.06527575718
398	0.06527186416
399	0.06493315357
400	0.06445355291
401	0.06405472242
402	0.06364677148
403	0.06339607874
404	0.06331855446
405	0.06309148902
406	0.06308800205
407	0.0630862557
408	0.06285809445
409	0.06274119853
410	0.062514572
411	0.06227433613
412	0.06208436717
413	0.06183179556
414	0.06174619501
415	0.06170088359
416	0.06149652197
417	0.06129324641
418	0.06115226565
419	0.06110979189
420	0.06068597842
421	0.0603906112
422	0.06008925929
423	0.05989636878
424	0.05985653171
425	0.05961277777
426	0.05944286573
427	0.0590796937
428	0.05882169918
429	0.05839081718
430	0.05812892031
431	0.05773771357
432	0.05747643347
433	0.05724212306
434	0.05723962718
435	0.05704200924
436	0.0567097714
437	0.05639657692
438	0.05612936145
439	0.05599696501
440	0.05577196346
441	0.05558919868
442	0.05551926808
443	0.05548983177
444	0.05536521254
445	0.05510578818
446	0.05468337119
447	0.05446192998
448	0.05417747241
449	0.05393544779
450	0.05377310958
451	0.05340672911
452	0.05323368263
453	0.05311181115
454	0.05279063387
455	0.0525132555
456	0.05206376518
457	0.05190692712
458	0.05166091572
459	0.051560763
460	0.05136157053
461	0.05125444073
462	0.05093903355
463	0.0507424187
464	0.05047744922
465	0.05006750127
466	0.04996719078
467	0.04987414081
468	0.04970185549
469	0.04961581008
470	0.0495476114
471	0.04937586551
472	0.04925004923
473	0.04901678261
474	0.0489065223
475	0.04879818295
476	0.04871397506
477	0.0484677404
478	0.0482499279
479	0.04798279553
480	0.04773528897
481	0.04751311035
482	0.04742809001
483	0.04721278615
484	0.0469649232
485	0.04671193235
486	0.04650997026
487	0.04631293405
488	0.04608432911
489	0.04587835578
490	0.04563278768
491	0.04530130661
492	0.04523105085
493	0.0449808252
494	0.04482480481
495	0.0445508778
496	0.0443972181
497	0.0441834212
498	0.04413128628
499	0.04389246308
