"fixture_id","date","flag_distance_gt_1000","flag_max_speed_gt_10_3","flag_any"
1167,"2025-06-14",32,0,32
1201,"2025-06-17",16,3,19
1161,"2025-06-11",6,0,6
1165,"2025-06-12",0,5,5
1190,"2025-06-15",0,5,5
1189,"2025-06-15",0,4,4
1200,"2025-06-17",0,4,4
1221,"2025-06-22",0,4,4
1164,"2025-06-12",0,3,3
1206,"2025-06-18",0,3,3
1225,"2025-06-28",0,3,3
1166,"2025-06-12",0,2,2
1216,"2025-06-21",0,2,2
1159,"2025-06-11",0,1,1
1170,"2025-06-14",0,1,1
1204,"2025-06-18",0,1,1
1205,"2025-06-18",0,1,1
1220,"2025-06-25",0,1,1
1160,"2025-06-11",0,0,0
1162,"2025-06-11",0,0,0
1163,"2025-06-12",0,0,0
1169,"2025-06-14",0,0,0
1171,"2025-06-14",0,0,0
1188,"2025-06-17",0,0,0
1191,"2025-06-15",0,0,0
1198,"2025-06-15",0,0,0
1202,"2025-06-17",0,0,0
1207,"2025-06-18",0,0,0
1215,"2025-06-21",0,0,0
1219,"2025-06-25",0,0,0
1237,"2025-06-21",0,0,0
