model_feature,coefficient,abs_coefficient
num__cumul_applied_pressure_count_per15,-0.2176881854718147,0.2176881854718147
num__last15_under_pressure_turnover_count,-0.21710848427868107,0.21710848427868107
num__last15_shots_top_third,0.21497408679440663,0.21497408679440663
num__cumul_distance,-0.2137506066617117,0.2137506066617117
num__cumul_applied_pressure_induced_turnover_rate_per15,-0.21180016460389722,0.21180016460389722
num__cumul_hsr,0.21135498952314574,0.21135498952314574
num__cumul_pass_top_share,0.21006555240399702,0.21006555240399702
num__cumul_applied_pressure_top_count,-0.2086155581198476,0.2086155581198476
num__cumul_pass_count_per15,-0.20843914837594404,0.20843914837594404
num__last15_pass_top_share,0.20688523584569513,0.20688523584569513
num__trend_distance_vs_cumul_rate,-0.2058713639321341,0.2058713639321341
num__cumul_under_pressure_backward_count,-0.20360613654505919,0.20360613654505919
num__cumul_shot_context_counter_share,-0.20160048149159165,0.20160048149159165
num__last15_under_pressure_forward_share,-0.19119355119685008,0.19119355119685008
num__last15_under_pressure_forward_count,0.18979481227539552,0.18979481227539552
num__cumul_run_detail_mean_distance,0.18897254585118142,0.18897254585118142
num__cumul_applied_pressure_induced_turnover_count,0.1886764464591176,0.1886764464591176
num__cumul_run_detail_sprint_distance_per15,0.18772393120702335,0.18772393120702335
num__last15_shot_context_counter_share,0.1876274642708347,0.1876274642708347
num__last15_run_detail_top_sprint_count,0.18325803778002267,0.18325803778002267
num__cumul_applied_pressure_allowed_forward_rate,0.1824600422957919,0.1824600422957919
num__last15_shot_context_set_piece_count,-0.18212845945551664,0.18212845945551664
num__cumul_shot_context_regular_count,-0.18009380992406734,0.18009380992406734
num__cumul_shot_context_header_count,-0.179889590067711,0.179889590067711
num__cumul_shot_context_blocked_count,0.17594140278068343,0.17594140278068343
num__trend_applied_pressure_turnovers,-0.17540761600215993,0.17540761600215993
num__cumul_under_pressure_lateral_count_per15,0.1718433842877323,0.1718433842877323
num__cumul_shot_context_right_foot_count,0.16996166463636636,0.16996166463636636
cat__position_D,-0.16715990507959783,0.16715990507959783
num__last15_run_detail_unique_possessions,-0.1637816642560791,0.1637816642560791
num__cumul_run_detail_mean_sprint_speed_per15,-0.1625084721954819,0.1625084721954819
num__cumul_under_pressure_turnover_count_per15,0.15982035012133003,0.15982035012133003
num__cumul_pass_middle_count,0.15718242826228698,0.15718242826228698
num__last15_applied_pressure_top_share,0.14972668975674405,0.14972668975674405
num__cumul_shot_context_right_foot_count_per15,-0.14866746180561283,0.14866746180561283
num__last15_hsr,-0.14347158534552198,0.14347158534552198
num__last15_run_detail_count,-0.14311486683476457,0.14311486683476457
num__cumul_run_detail_count,0.14018531730757813,0.14018531730757813
num__minute_in,0.13900143622114736,0.13900143622114736
num__last15_run_detail_hsr_distance,0.13795024657897448,0.13795024657897448
num__cumul_under_pressure_lateral_count,-0.13720654225537782,0.13720654225537782
num__last15_pass_middle_count,0.1367387952129445,0.1367387952129445
num__cumul_under_pressure_count_per15,-0.13216577166437657,0.13216577166437657
num__cumul_shot_context_unique_possessions_per15,0.13177568776975115,0.13177568776975115
num__cumul_shots_top_third,0.13082170860252448,0.13082170860252448
num__cumul_under_pressure_forward_share,0.13046943518234816,0.13046943518234816
num__last15_pass_no_target_count,-0.12854733398618928,0.12854733398618928
num__last15_shot_context_header_count,0.1274394676057414,0.1274394676057414
num__cumul_sprints,-0.12715728737529378,0.12715728737529378
num__last15_under_pressure_accuracy,-0.12690634162058473,0.12690634162058473
num__cumul_shot_context_unique_possessions,0.12175626514838868,0.12175626514838868
num__cumul_under_pressure_carry_count,0.12150200189106157,0.12150200189106157
num__cumul_applied_pressure_unique_pressed_players_per15,0.12054465522190572,0.12054465522190572
num__cumul_under_pressure_forward_share_per15,0.11571272920678317,0.11571272920678317
num__cumul_under_pressure_accurate_count_per15,-0.11186137378984329,0.11186137378984329
num__cumul_shot_context_penalty_count,-0.1111264951347276,0.1111264951347276
num__cumul_shot_context_penalty_count_per15,-0.10843169371250959,0.10843169371250959
num__last15_applied_pressure_unique_pressed_players,-0.10817093129782093,0.10817093129782093
cat__checkpoint_H2_30,-0.10656241303979544,0.10656241303979544
num__cumul_shot_context_left_foot_count,-0.10397553264444725,0.10397553264444725
num__last15_shot_context_left_foot_count,-0.1025115340042905,0.1025115340042905
num__last15_pass_no_target_rate,0.1023760767415126,0.1023760767415126
num__last15_shot_context_under_pressure_count,-0.10198065327238609,0.10198065327238609
num__cumul_applied_pressure_top_count_per15,-0.10108692922307334,0.10108692922307334
num__cumul_shot_context_count_per15,-0.09776832189477729,0.09776832189477729
