feature,missing_rate,corr_with_target,univariate_auc,mean_positive,mean_negative
cumul_pass_bottom_count,0.0,-0.1185208540019096,0.707442649591431,2.740506329113924,6.685102947113443
cumul_pass_bottom_count_per15,0.0,-0.1208839686893027,0.691041122632012,1.11872705353718,2.391324582713847
cumul_run_detail_top_share_per15,0.0,0.07587815632442178,0.6554606174271653,0.2735609212388788,0.15717568994312633
last15_pass_bottom_count,0.0,-0.09825685751339834,0.6539760735475233,1.0886075949367089,2.185304804198627
cumul_applied_pressure_unique_pressed_players_per15,0.0,0.10069388229525592,0.6458404664687275,1.9383884048441014,1.4373567122932491
cumul_pass_count,0.0,-0.09438943857282,0.643818062887425,13.955696202531646,20.969721437222447
cumul_run_detail_unique_possessions_per15,0.0,0.08121821152171634,0.638121349325184,1.3589991232396297,1.0000359245298132
cumul_pass_accurate_count,0.0,-0.08586968589811989,0.638098352948391,12.044303797468354,17.56519983851433
cumul_applied_pressure_allowed_forward_rate_per15,0.0,0.06103506964420027,0.6341902464700561,0.13593054971489446,0.07789765622587486
cumul_applied_pressure_allowed_forward_count_per15,0.0,0.11975900889517431,0.6334454193772581,0.9944092827004218,0.5724010541142396
cumul_under_pressure_unique_pressers_per15,0.0,0.09993789137547748,0.6292421927300789,1.9057249712313005,1.4381619157700438
cumul_pass_unique_receivers,0.0,-0.10403751430947945,0.6286276784391082,6.443037974683544,8.274929350020185
cumul_run_detail_mean_hsr_speed_per15,0.0,0.05511728387872799,0.6237026210759238,4.4291879169404496,3.4741980546340634
cumul_applied_pressure_count_per15,0.0,0.09273574824935539,0.6197293581966752,4.095858677187791,3.1138739251108496
cumul_run_detail_mean_sprint_speed_per15,0.0,0.07457448612911974,0.6195415544528651,4.620840470482402,3.42187692086336
cumul_run_detail_top_share,0.0,0.10842492745778184,0.6178934807826945,0.34808484687440866,0.2585974455107718
cumul_applied_pressure_induced_turnover_count_per15,0.0,0.10949098553045992,0.6157854795766623,1.68618828428955,1.1986203272307567
cumul_applied_pressure_allowed_forward_rate,0.0,0.0946217977239017,0.6150010476127206,0.203526123603376,0.1376029049992895
cumul_pass_count_per15,0.0,-0.07284610005561253,0.6130361349734008,6.058253876924763,7.555497060681069
