fixture_id,date,id,player_appearance_id,period,minute,stage,possession,run_type,min_speed,max_speed,distance,implied_secs_at_max,flag_speed_gt_10_3,flag_implied_duration_gt_30s,flag_known_bad_fixture,flag_reason
1216.0,2025-06-21,731680,41915,half_1,22,top,2399,sprint,5.62,10.66,28.81540740740741,2.7031339031339034,True,False,False,max_speed_gt_10_3
1220.0,2025-06-25,738558,42179,half_1,35,middle,2411,hsr,5.57,14.07,8.770285714285714,0.6233323180018276,True,False,False,max_speed_gt_10_3
1221.0,2025-06-22,741342,42293,extra_time_2,14,middle,2416,sprint,5.63,11.91,42.865510399999984,3.5991192611251037,True,False,False,max_speed_gt_10_3
1221.0,2025-06-22,741343,42293,extra_time_2,14,middle,2416,hsr,5.78,11.91,9.798967741935485,0.8227512797594866,True,False,False,max_speed_gt_10_3
1221.0,2025-06-22,741347,42293,extra_time_2,19,middle,2416,sprint,5.55,11.43,29.676246913580243,2.596347061555577,True,False,False,max_speed_gt_10_3
1221.0,2025-06-22,741959,42320,extra_time_2,19,middle,2416,sprint,5.57,10.42,19.618470175438592,1.88277065023403,True,False,False,max_speed_gt_10_3
1225.0,2025-06-28,752041,42685,extra_time_2,4,bottom,2435,hsr,1.03,12.62,9.774514285714284,0.7745256961738736,True,False,False,max_speed_gt_10_3
1225.0,2025-06-28,752480,42697,extra_time_2,14,top,2435,hsr,2.79,11.24,8.233544827586208,0.7325217818137195,True,False,False,max_speed_gt_10_3
1225.0,2025-06-28,752604,42705,half_2,23,middle,2434,sprint,2.02,11.17,8.835641379310346,0.79101534282098,True,False,False,max_speed_gt_10_3
,,686602,39935,half_2,47,middle,2306,hsr,3.62,13.19,23.652,1.7931766489764975,True,False,False,max_speed_gt_10_3
1161.0,2025-06-11,1324800,65575,half_1,28,bottom,3752,sprint,6.95,7.68,323.554,42.12942708333333,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1324804,65575,half_2,51,top,3753,hsr,5.35,6.62,536.5672000000001,81.05244712990938,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323711,65576,half_1,1,middle,3753,hsr,5.45,6.37,532.8384,83.64810047095762,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323712,65576,half_1,4,top,3753,hsr,5.53,6.31,231.3572,36.66516640253566,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323710,65576,half_1,5,bottom,3753,sprint,7.01,7.83,328.0112,41.89159642401021,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323713,65576,half_1,9,top,3753,sprint,6.93,8.12,550.896,67.84433497536946,False,True,True,implied_duration_gt_30s; known_bad_fixture
